symbol,order_type,lots,status,open_price,close_price,stop_loss,take_profit,magic_number,order_number,open_time,close_time,profit
USDJPY60,2,5,2,78.76,78.764,0,0,1235,24090,2011-07-21 04:58:00 +0900,2011-07-21 05:30:00 +0900,-0.02
USDJPY60,1,10,2,78.764,78.764,0,0,1234,24091,2011-07-21 05:30:00 +0900,2011-07-21 05:37:00 +0900,0.0
USDJPY60,2,5,2,78.764,78.781,0,0,1235,24092,2011-07-21 05:37:00 +0900,2011-07-21 08:01:00 +0900,-0.085
USDJPY60,1,10,2,78.781,78.87,0,0,1234,24093,2011-07-21 08:01:00 +0900,2011-07-21 08:24:00 +0900,0.89
USDJPY60,2,5,2,78.87,78.812,0,0,1235,24094,2011-07-21 08:24:00 +0900,2011-07-21 08:43:00 +0900,0.29
USDJPY60,1,10,2,78.812,78.841,0,0,1234,24095,2011-07-21 08:43:00 +0900,2011-07-21 09:06:00 +0900,0.29
USDJPY60,2,5,2,78.841,78.835,0,0,1235,24096,2011-07-21 09:06:00 +0900,2011-07-21 09:08:00 +0900,0.03
USDJPY60,1,10,2,78.835,78.842,0,0,1234,24097,2011-07-21 09:08:00 +0900,2011-07-21 09:20:00 +0900,0.07
USDJPY60,2,5,2,78.842,78.827,0,0,1235,24098,2011-07-21 09:20:00 +0900,2011-07-21 09:29:00 +0900,0.075
USDJPY60,1,10,2,78.827,78.751,0,0,1234,24099,2011-07-21 09:29:00 +0900,2011-07-21 11:30:00 +0900,-0.76
USDJPY60,2,5,2,78.751,78.71,0,0,1235,24100,2011-07-21 11:30:00 +0900,2011-07-21 12:24:00 +0900,0.205
USDJPY60,1,10,2,78.71,78.721,0,0,1234,24101,2011-07-21 12:24:00 +0900,2011-07-21 13:21:00 +0900,0.11
USDJPY60,2,5,2,78.721,78.692,0,0,1235,24102,2011-07-21 13:21:00 +0900,2011-07-21 13:33:00 +0900,0.145
USDJPY60,1,10,2,78.692,78.751,0,0,1234,24103,2011-07-21 13:33:00 +0900,2011-07-21 13:37:00 +0900,0.59
USDJPY60,2,5,2,78.751,78.798,0,0,1235,24104,2011-07-21 13:37:00 +0900,2011-07-21 16:27:00 +0900,-0.235
USDJPY60,1,10,2,78.798,78.814,0,0,1234,24105,2011-07-21 16:27:00 +0900,2011-07-21 17:25:00 +0900,0.16
USDJPY60,2,5,2,78.814,78.861,0,0,1235,24106,2011-07-21 17:25:00 +0900,2011-07-21 19:33:00 +0900,-0.235
USDJPY60,1,10,2,78.861,78.574,0,0,1234,24107,2011-07-21 19:33:00 +0900,2011-07-22 01:41:00 +0900,-2.87
USDJPY60,2,5,2,78.574,78.553,0,0,1235,24108,2011-07-22 01:41:00 +0900,2011-07-22 03:02:00 +0900,0.105
USDJPY60,1,10,2,78.553,78.447,0,0,1234,24109,2011-07-22 03:02:00 +0900,2011-07-22 06:25:00 +0900,-1.06
USDJPY60,2,5,2,78.447,78.488,0,0,1235,24110,2011-07-22 06:25:00 +0900,2011-07-22 08:13:00 +0900,-0.205
USDJPY60,1,10,2,78.488,78.539,0,0,1234,24111,2011-07-22 08:13:00 +0900,2011-07-22 09:01:00 +0900,0.51
USDJPY60,2,5,2,78.539,78.541,0,0,1235,24112,2011-07-22 09:01:00 +0900,2011-07-22 09:37:00 +0900,-0.01
USDJPY60,1,10,2,78.541,78.539,0,0,1234,24113,2011-07-22 09:37:00 +0900,2011-07-22 09:39:00 +0900,-0.02
USDJPY60,2,5,2,78.539,78.6,0,0,1235,24114,2011-07-22 09:39:00 +0900,2011-07-22 11:03:00 +0900,-0.305
USDJPY60,1,10,2,78.6,78.626,0,0,1234,24115,2011-07-22 11:03:00 +0900,2011-07-22 13:15:00 +0900,0.26
USDJPY60,2,5,2,78.626,78.611,0,0,1235,24116,2011-07-22 13:15:00 +0900,2011-07-22 14:48:00 +0900,0.075
USDJPY60,1,10,2,78.611,78.627,0,0,1234,24117,2011-07-22 14:48:00 +0900,2011-07-22 15:29:00 +0900,0.16
USDJPY60,2,5,2,78.627,78.608,0,0,1235,24118,2011-07-22 15:29:00 +0900,2011-07-22 15:41:00 +0900,0.095
USDJPY60,1,10,2,78.608,78.64,0,0,1234,24119,2011-07-22 15:41:00 +0900,2011-07-22 16:09:00 +0900,0.32
USDJPY60,2,5,2,78.64,78.631,0,0,1235,24120,2011-07-22 16:09:00 +0900,2011-07-22 17:35:00 +0900,0.045
USDJPY60,1,10,2,78.631,78.383,0,0,1234,24121,2011-07-22 17:35:00 +0900,2011-07-22 22:01:00 +0900,-2.48
USDJPY60,2,5,2,78.383,78.373,0,0,1235,24122,2011-07-22 22:01:00 +0900,2011-07-22 22:07:00 +0900,0.05
USDJPY60,1,10,2,78.373,78.426,0,0,1234,24123,2011-07-22 22:07:00 +0900,2011-07-22 22:19:00 +0900,0.53
USDJPY60,2,5,2,78.426,78.396,0,0,1235,24124,2011-07-22 22:19:00 +0900,2011-07-22 23:22:00 +0900,0.15
USDJPY60,1,10,2,78.396,78.39,0,0,1234,24125,2011-07-22 23:22:00 +0900,2011-07-23 00:35:00 +0900,-0.06
USDJPY60,2,5,2,78.39,78.425,0,0,1235,24126,2011-07-23 00:35:00 +0900,2011-07-23 01:53:00 +0900,-0.175
USDJPY60,1,10,2,78.425,78.461,0,0,1234,24127,2011-07-23 01:53:00 +0900,2011-07-23 02:00:00 +0900,0.36
USDJPY60,2,5,2,78.461,78.45,0,0,1235,24128,2011-07-23 02:00:00 +0900,2011-07-23 03:28:00 +0900,0.055
USDJPY60,1,10,2,78.45,78.456,0,0,1234,24129,2011-07-23 03:28:00 +0900,2011-07-23 05:06:00 +0900,0.06
USDJPY60,2,5,2,78.456,78.398,0,0,1235,24130,2011-07-23 05:06:00 +0900,2011-07-25 07:06:00 +0900,0.29
USDJPY60,1,10,2,78.398,78.454,0,0,1234,24131,2011-07-25 07:06:00 +0900,2011-07-25 08:27:00 +0900,0.56
USDJPY60,2,5,2,78.454,78.411,0,0,1235,24132,2011-07-25 08:27:00 +0900,2011-07-25 09:43:00 +0900,0.215
USDJPY60,1,10,2,78.411,78.524,0,0,1234,24133,2011-07-25 09:43:00 +0900,2011-07-25 10:04:00 +0900,1.13
USDJPY60,2,5,2,78.524,78.41,0,0,1235,24134,2011-07-25 10:04:00 +0900,2011-07-25 10:38:00 +0900,0.57
